short_name	scientific_name	clade
naked_mole_rat	Heterocephalus glaber	rodentia
damaraland_mole_rat	Fukomys damarensis	rodentia
blind_mole_rat	Nannospalax galili	rodentia
guinea_pig	Cavia porcellus	rodentia
chinchilla	Chinchilla lanigera	rodentia
degu	Octodon degus	rodentia
mouse	Mus musculus	rodentia
rat	Rattus norvegicus	rodentia
hamster	Mesocricetus auratus	rodentia
prairie_vole	Microtus ochrogaster	rodentia
deer_mouse	Peromyscus maniculatus	rodentia
ground_squirrel	Ictidomys tridecemlineatus	rodentia
marmot	Marmota marmota	rodentia
beaver	Castor canadensis	rodentia
kangaroo_rat	Dipodomys ordii	rodentia
rabbit	Oryctolagus cuniculus	lagomorpha
pika	Ochotona princeps	lagomorpha
myotis_lucifugus	Myotis lucifugus	chiroptera
david_myotis	Myotis davidii	chiroptera
big_brown_bat	Eptesicus fuscus	chiroptera
greater_horseshoe_bat	Rhinolophus ferrumequinum	chiroptera
egyptian_fruit_bat	Rousettus aegyptiacus	chiroptera
black_flying_fox	Pteropus alecto	chiroptera
rhesus	Macaca mulatta	primates
baboon	Papio anubis	primates
vervet	Chlorocebus sabaeus	primates
crab_eating_macaque	Macaca fascicularis	primates
marmoset	Callithrix jacchus	primates
squirrel_monkey	Saimiri boliviensis	primates
chimpanzee	Pan troglodytes	primates
gorilla	Gorilla gorilla	primates
orangutan	Pongo abelii	primates
mouse_lemur	Microcebus murinus	primates
galago	Otolemur garnettii	primates
dog	Canis lupus familiaris	carnivora
cat	Felis catus	carnivora
ferret	Mustela putorius furo	carnivora
polar_bear	Ursus maritimus	carnivora
giant_panda	Ailuropoda melanoleuca	carnivora
weddell_seal	Leptonychotes weddellii	carnivora
walrus	Odobenus rosmarus	carnivora
cow	Bos taurus	artiodactyla
sheep	Ovis aries	artiodactyla
goat	Capra hircus	artiodactyla
pig	Sus scrofa	artiodactyla
alpaca	Vicugna pacos	artiodactyla
bottlenose_dolphin	Tursiops truncatus	cetacea
killer_whale	Orcinus orca	cetacea
beluga	Delphinapterus leucas	cetacea
sperm_whale	Physeter macrocephalus	cetacea
minke_whale	Balaenoptera acutorostrata	cetacea
blue_whale	Balaenoptera musculus	cetacea
bowhead_whale	Balaena mysticetus	cetacea
horse	Equus caballus	perissodactyla
white_rhino	Ceratotherium simum	perissodactyla
elephant	Loxodonta africana	afrotheria
manatee	Trichechus manatus	afrotheria
tenrec	Echinops telfairi	afrotheria
hedgehog	Erinaceus europaeus	eulipotyphla
star_nosed_mole	Condylura cristata	eulipotyphla
armadillo	Dasypus novemcinctus	xenarthra
opossum	Monodelphis domestica	marsupialia
