short_name	scientific_name	clade	max_lifespan_yr	adult_mass_kg
alpaca	Vicugna pacos	artiodactyla	25.8	62.0
armadillo	Dasypus novemcinctus	xenarthra	22.3	5.5
baboon	Papio anubis	primates	37.5	18.0
beaver	Castor canadensis	rodentia	23.4	20.25
beluga	Delphinapterus leucas	cetacea	40.0	1430.0
big_brown_bat	Eptesicus fuscus	chiroptera	19.0	0.023
black_flying_fox	Pteropus alecto	chiroptera	20.3	0.6721
blind_mole_rat	Nannospalax galili	rodentia	21.0	0.15
blue_whale	Balaenoptera musculus	cetacea	110.0	136000.0
bottlenose_dolphin	Tursiops truncatus	cetacea	51.6	200.0
bowhead_whale	Balaena mysticetus	cetacea	211.0	100000.0
cat	Felis catus	carnivora	30.0	3.9
chimpanzee	Pan troglodytes	primates	68.0	44.9835
chinchilla	Chinchilla lanigera	rodentia	17.2	0.6425
cow	Bos taurus	artiodactyla	20.0	750.0
crab_eating_macaque	Macaca fascicularis	primates	39.0	6.3625
damaraland_mole_rat	Fukomys damarensis	rodentia	15.5	0.18
deer_mouse	Peromyscus maniculatus	rodentia	8.3	0.0205
degu	Octodon degus	rodentia	14.0	0.235
dog	Canis lupus familiaris	carnivora	27.0	40.0
egyptian_fruit_bat	Rousettus aegyptiacus	chiroptera	22.9	0.125
elephant	Loxodonta africana	afrotheria	65.0	4800.0
ferret	Mustela putorius furo	carnivora	11.1	0.809
galago	Otolemur garnettii	primates	20.0	1.3
giant_panda	Ailuropoda melanoleuca	carnivora	36.8	117.5
goat	Capra hircus	artiodactyla	20.8	61.0
gorilla	Gorilla gorilla	primates	60.1	139.842
greater_horseshoe_bat	Rhinolophus ferrumequinum	chiroptera	30.5	0.022875
ground_squirrel	Ictidomys tridecemlineatus	rodentia	7.9	0.1727
guinea_pig	Cavia porcellus	rodentia	12.0	0.728
hamster	Mesocricetus auratus	rodentia	3.9	0.105
hedgehog	Erinaceus europaeus	eulipotyphla	11.7	0.75
horse	Equus caballus	perissodactyla	57.0	300.0
kangaroo_rat	Dipodomys ordii	rodentia	9.9	0.057
killer_whale	Orcinus orca	cetacea	90.0	3987.5
manatee	Trichechus manatus	afrotheria	69.0	322.0
marmoset	Callithrix jacchus	primates	22.8	0.2552
marmot	Marmota marmota	rodentia	17.4	3.5
minke_whale	Balaenoptera acutorostrata	cetacea	50.0	7500.0
mouse	Mus musculus	rodentia	4.0	0.0205
mouse_lemur	Microcebus murinus	primates	18.2	0.0648
myotis_lucifugus	Myotis lucifugus	chiroptera	34.0	0.01
naked_mole_rat	Heterocephalus glaber	rodentia	31.0	0.035
opossum	Monodelphis domestica	marsupialia	5.1	0.105
orangutan	Pongo abelii	primates	59.0	64.475
pig	Sus scrofa	artiodactyla	27.0	130.0
pika	Ochotona princeps	lagomorpha	7.0	0.1
polar_bear	Ursus maritimus	carnivora	43.8	475.0
prairie_vole	Microtus ochrogaster	rodentia	5.3	0.04
rabbit	Oryctolagus cuniculus	lagomorpha	13.0	1.8
rat	Rattus norvegicus	rodentia	3.8	0.3
rhesus	Macaca mulatta	primates	40.0	8.235
sheep	Ovis aries	artiodactyla	22.8	80.0
sperm_whale	Physeter macrocephalus	cetacea	77.0	28500.0
squirrel_monkey	Saimiri boliviensis	primates	30.3	0.615
star_nosed_mole	Condylura cristata	eulipotyphla	2.5	0.055299999999999995
tenrec	Echinops telfairi	afrotheria	19.0	0.18
vervet	Chlorocebus sabaeus	primates	32.0	5.62
white_rhino	Ceratotherium simum	perissodactyla	45.0	2175.0
