taxid	name	group	accession	kind	note	cds_len	prot_len	identity	status
9606	human	REFERENCE	P13010	uniprot	gene:7520:nuccore:2462576900	2484	732	1.0	OK
10036	hamster	REFERENCE	A0ABM2Y122	uniprot	gene:101826091:nuccore:2025763096	2253	750	1.0	OK
10116	rat	REFERENCE	A6KFI3	uniprot	gene:363247:nuccore:2678971551	1926	732	0.8347	OK
885580	damaraland_mole_rat	ELLSM	XP_010610260.1	refseq	gene:104853776:nuccore:1834329011	2196	731	1.0	OK
59463	myotis_lucifugus	ELLSM	G1PNC7	uniprot	gene:102441776:nuccore:1335116957	2160	732	0.9766	OK
30608	mouse_lemur	REFERENCE	ENSMICP00000008152	ensembl	gene:105882602:nuccore:3037587557	2202	551	0.9174	OK
43179	ground_squirrel	REFERENCE	XP_005331894.1	refseq	gene:101961843:nuccore:3130266395	1860	733	0.8432	OK
9685	cat	REFERENCE	ENSFCAP00000053209.1	ensembl	gene:101083534:nuccore:2131007649	2202	747	0.942	OK
9365	hedgehog	REFERENCE	ENSEEUP00000004826	ensembl	gene:103124911:nuccore:2591625738	2073	489	0.9317	OK
9749	beluga	BMAL	A0A2Y9MQZ7	uniprot	gene:111171807:nuccore:1741504936	2202	733	1.0	OK
73337	white_rhino	BMAL	A0ABM0HI90	uniprot	gene:101403758:nuccore:955511429	2253	750	1.0	OK
1026970	blind_mole_rat	ELLSM	A0A8C6S037	uniprot	gene:103727696:nuccore:1691726009	2196	731	1.0	OK
9940	sheep	REFERENCE	W5QDK7	uniprot	gene:101107255:nuccore:2607053452	2244	733	0.9945	OK
10090	mouse	REFERENCE	XRCC5_MOUSE	uniprot	gene:22596:nuccore:1720354783	2190	732	0.9642	OK
9785	elephant	BMAL	G3T5U0	uniprot	gene:100655044:nuccore:2711026500	2190	732	0.9614	OK
59479	greater_horseshoe_bat	ELLSM	A0A671F544	uniprot	gene:117026271:nuccore:1823876403	2202	739	0.9823	OK
10141	guinea_pig	REFERENCE	A0A286XHS4	uniprot	gene:100728001:nuccore:2687737179	2202	739	0.9864	OK
13616	opossum	REFERENCE	A0A5F8GHT9	uniprot	gene:100013619:nuccore:3352600105	1857	701	0.8403	OK
10181	naked_mole_rat	ELLSM	A0A0P6JG21	uniprot	gene:101719341:nuccore:1196776133	2250	732	0.9601	OK
9615	dog	REFERENCE	ENSCAFP00000038467	ensembl	gene:478902:nuccore:1953377386	2202	829	0.8663	OK
9755	sperm_whale	BMAL	A0A2Y9SVD3	uniprot	gene:102984827:nuccore:2487083334	2202	733	1.0	OK
9544	rhesus	REFERENCE	I0FUX2	uniprot	gene:574279:nuccore:3129268796	2127	732	0.9669	OK
9771	blue_whale	BMAL	A0A8B8XWS9	uniprot	gene:118898293:nuccore:1920232362	2202	733	1.0	OK
