lane,mechanism,result_class,status,evidence_scope,key_result,quantitative_summary,decision,next_step,claim_boundary,source_artifact_id
tp53_mdm2_elephant,MDM2 mapped-interface enrichment,negative_for_longevity_contrast,shared_interface_constraint_without_robust_longevity_contrast,"mapped human 1YCR/Q00987 interface applied to elephant, mouse and hamster MDM2 embeddings","The mapped interface signal was reproducible, but the long-lived versus short-lived biological contrast was not robust.",Three audited mapped-interface enrichment rows; present_valid embeddings; deterministic controls.,Do not promote MDM2 interface enrichment as a longevity adaptation.,"Handle elephant TP53 retrogenes separately, copy by copy.","Supports shared interface constraint, not beneficial breakage or lifespan causality.",repository:data/output/scoped_mdm2_interface_enrichment.csv
sirt6_dna_repair,SIRT6 interface embedding contrast,confounded_negative,sequence_divergence_confounded,SIRT6 mini-pilot interface enrichment and manual-review outputs,Observed separation could not be interpreted as a longevity mechanism because it tracked broad sequence divergence.,Enrichment approximately 0.69-1.05; silhouette approximately 0.388; 118-residue manual-review shortlist.,Do not expand the embedding-only SIRT6 contrast without stronger independent controls.,Use direct mechanistic sites or wet-lab evidence rather than further global embedding separation.,Statistical separation is not evidence of a DNA-repair or longevity mechanism.,external:sirt6_mini_pilot_outputs
igf_rheb_mtor,RHEB-MTOR interface contrast,closed_shared_negative,no_longevity_associated_interface_shift,comparative interface embedding contrast,No reproducible longevity-associated shift was detected at the RHEB-MTOR interface.,,Lane closed.,No additional structural computation justified.,"Does not rule out expression, localization or pathway-level regulation.",external:rheb_mtor_outputs
ampk_pilot,AMPK interface embedding contrast,closed_shared_negative,no_coherent_interface_embedding_shift,comparative interface embedding contrast,No coherent interface-level embedding shift separated the tested long-lived lineages.,,Stop interface-level AMPK expansion.,Retain only direct downstream regulatory-site exceptions for targeted validation.,Does not rule out altered kinase activity or network-state regulation.,external:ampk_interface_outputs
has2_cd44_nmr,HAS2 functional-axis sequence rescue,positive_computational_candidate,bidirectional_multi_site_embedding_rescue_with_context_dependence,reciprocal human/NMR full-length sequence edits,NMR-associated substitutions produced reciprocal local embedding rescue in both human and NMR backgrounds.,"Local rescue: human 0.7712, NMR 0.8302; global rescue about 0.185/0.194; reciprocal direction cosine 0.9681. Leading sites: 178/181 cluster, N301S and N178S.",Retain as the strongest positive computational lane.,Test a multi-site wet-lab panel with matched single-site and cluster controls.,"Embedding rescue does not establish HAS2 activity, hyaluronan production, CD44 signaling or longevity.",external:has2_cd44_outputs
igf_rheb_mtor,IGF1-IGF1R direct interface,closed_shared_negative,no_nmr_specific_direct_IGF1_IGF1R_interface_rewiring,two structures at 6/7/8 angstrom interface cutoffs,No NMR-specific direct-interface substitutions were found.,Eight non-interface ectodomain substitutions were deferred.,Direct-interface lane closed.,Only revisit with receptor dynamics or expression evidence.,Does not rule out non-interface receptor regulation.,external:igf1_igf1r_outputs
igf_rheb_mtor,TSC2-RHEB catalytic switch,closed_conserved_core,conserved_TSC2_RHEB_catalytic_switch_with_one_weak_nonlocal_variant,seven-species functional-site panel,Catalytic landmarks were conserved in all species.,TSC2 R1580K occurred in two of three long-lived lineages but was approximately 63 residues from the catalytic site.,Do not promote the nonlocal variant without additional mechanism.,Core catalytic lane closed.,A distant recurrent variant is not evidence of altered GAP activity.,external:tsc2_rheb_functional_site_panel
igf_rheb_mtor,TSC1-TSC2 assembly interface,moderate_two_lineage_candidate,two_lineage_TSC1_interface_embedding_candidate_without_unique_position_specificity,"7DL2 interface mapping, six-species alignment, reciprocal ESMC edits and local controls","TSC1 M771V recurred in NMR and Myotis and showed reciprocal local embedding rescue, but stronger nearby interface controls prevented a unique-hotspot claim.","Radius-8 rescue: human to NMR 40.50%, human to Myotis 33.32%, NMR to human 41.96%, Myotis to human 35.32%; direction cosines 0.966-0.983. Focal beat non-interface controls, not all interface controls.",Retain as a regional two-lineage interface candidate.,"Wet-lab panel: WT, M771V, M806V, M845V and V772M.","Supports sequence-context sensitivity in an interface region, not altered binding or mTORC1 function.",external:tsc1_tsc2_outputs
igf_rheb_mtor,AKT1-to-FOXO3 phosphosite motifs,closed_shared_negative,conserved_FOXO3_AKT_phosphosite_motifs,"FOXO3 T32, S253 and S315 across seven species",All three phosphoacceptors and tested motif positions were conserved.,candidate_count=0,Motif lane closed.,"Any future work must test kinase activity, phosphatases, localization or expression.",Sequence conservation does not establish equal phosphorylation dynamics.,external:akt1_foxo3_phosphosite_signal
igf_rheb_mtor,AKT-to-TSC2 phosphosite motifs,closed_shared_negative,conserved_TSC2_AKT_phosphosite_motifs,"TSC2 S939, S981 and T1462 across seven species",All three phosphoacceptors were conserved.,Elephant-only arginine changes near S981 did not repeat in NMR or Myotis.,Motif lane closed.,No embeddings for conserved site-presence questions.,"Does not rule out altered AKT activity, 14-3-3 binding or TSC localization.",external:akt_tsc2_phosphosite_signal
